SYS_LOC_CODE,2-Br,3-Br,4-Br,5-Br,6-Br,7-Br,8-Br,9-Br,10-Br,TOTALBDE
COW20,3.46,7.551,27.019,14.125,2.202,0.245,0.498,7.95,44.9,107.95
PTP2-ARDMILLIAN,2.853,1.429,6.707,4.078,0,0.435,0.823,10.51,66.1,92.935
PTP2-BELLA,0.317,0.871,2.499,1.918,1.012,0.346,0.25,1.506,25.4,34.119
PTP2-COM1,0.623,2.05,7.005,3.708,0.477,0.345,0.337,5.545,45.7,65.79
PTP2-DIX,0.481,0.98,3.542,1.5,0.218,0.129,0.223,13.3,13,33.373
PTP2-EH1,19.588,22.175,68.952,36.828,11.849,8.939,8.61,482.29,6273.1,6932.331
PTP2-EH2,8.856,18.659,64.096,35.899,9.084,1.238,1.75,20.9,226,386.482
PTP2-FC1,6.579,12.548,39.673,22.765,7.397,2.14,3.05,51.31,417.4,562.862
PTP2-FR1,0,0.522,3.605,2.186,0.248,0.288,0.257,3.691,7.79,18.587
PTP2-GINP1,3.224,7.903,27.698,10.132,3.487,0.235,2.38,26.3,326,407.359
PTP2-GINP2,2.247,5.611,18.15,8.121,2.469,0.337,0.334,4.896,58,100.165
PTP2-HG1,0.366,0.806,2.04,1.583,0.352,0.141,0.466,8.92,17.1,31.774
PTP2-HG2,0,1.728,4.12,2.786,2.028,0.595,4.208,16.36,31.7,63.525
PTP2-HG4,0.571,0.853,2.05,1.196,0.623,0.572,0,5.43,13.1,24.395
PTP2-HG5,1.261,0.874,3.147,1.521,4.721,1.747,0,0.2,43.6,57.071
PTP2-HG6,1.859,0.729,2.524,1.528,1.324,0.644,2.996,201.3,3251,3463.904
PTP2-HS1,2.787,6.703,210.576,582.635,114.566,3.362,2.663,36.19,163.6,1123.082
PTP2-IA1,2.249,6.941,23.075,21.828,5.566,2.289,1.483,6.65,60.3,130.381
PTP2-IA2,4.172,14.678,46.802,20.108,7.756,2.544,5.313,304.49,1936.6,2342.463
PTP2-IA3,1.511,2.409,7.068,2.505,0.94,0.232,0.424,7.14,46.4,68.629
PTP2-JDF1,0.437,1.342,17.559,15.982,0.437,0.307,0.332,8.52,34.8,79.716
PTP2-JDF2,0.147,0.361,1.513,0.393,0,0,0.264,5.244,11.1,19.022
PTP2-LG61,2.521,10.7416666666667,51.3663333333333,23.6243333333333,7.19733333333333,1.043,2.04,32.01,117,247.543666666667
PTP2-LG62,4.911,12.1546666666667,53.3973333333333,29.3183333333333,10.1763333333333,2.352,0.0939999999999999,39.57,239,390.973666666667
PTP2-LG80,8.642,26.6886666666667,140.138333333333,91.3813333333333,25.6753333333333,3.521,3.484,28.3133333333333,288.666666666667,616.510666666667
PTP2-NAMU,0,0.505,2.354,1.569,0,0.353,0.286,4.07,25.3,34.437
PTP2-NAN1,58.05,67.949,125.576,52.618,10.903,3.13,6.223,132.79,940.6,1397.839
PTP2-NAN2,0.323,1.59,5.698,2.779,0.309,0.158,0.873,6.71,9.8,28.24
PTP2-NWC1,90.22,165.546,682.32,661.606,151.551,20.963,31.13,1705.476,34877.8,38386.612
PTP2-NWC10,4.536,10.569,48.52,25.887,6.267,1.09,3.156,86.4,657,843.425
PTP2-NWC11,0,0,0.492,0.492,0.125,0,0.149,1.99,19.2,22.448
PTP2-NWC2,1.72,2.083,6.262,2.649,0.786,0.579,0.487,11.71,119.1,145.376
PTP2-NWC3,0.124,0.549,2.812,1.069,0.123,0.401,0.422,8.28,62.4,76.18
PTP2-NWC4,2.72,2.728,8.22,4.005,3.552,0.614,0.72,26.15,310.1,358.809
PTP2-NWC5,0.916,3.791,12.251,6.028,1.775,0.384,0.25,25.69,176.1,227.185
PTP2-NWC6,0.345,1.093,6.06,4.173,1.73,0.515,0.355,4.01,19.6,37.881
PTP2-NWC8,0,0.257,0.85,0.935,0.12,0,0.195,3.087,18.8,24.244
PTP2-NWC9,13.756,21.551,71.929,30.575,9.567,1.06,1.686,38.9,687,876.024
PTP2-PB,1.413,2.763,17.181,18.479,4.396,0.0559999999999999,0.749,7.93,273.1,326.067
PTP2-PH,10.916,24.006,74.649,26.51,9.237,1.835,1.63,24.2,879,1051.983
PTP2-PMV1,57.64,118.065,289.168,162.398,43.716,14.217,16.593,444.59,5886.6,7032.987
PTP2-PMV2,41.47,72.336,236.862,131.126,33.959,9.347,12.593,482.59,3306.6,4326.883
PTP2-PMV3,2.931,7.711,33.394,25.695,6.183,1.904,1.823,55.09,275.6,410.331
PTP2-PMV4,2.054,4.886,33.425,33.383,6.408,2.882,4.093,71.19,383.6,541.921
PTP2-PMV5,36.06,47.021,184.644,136.488,35.386,15.957,9.373,320.49,1766.6,2552.019
PTP2-PMV6,21.33,43.528,160.616,93.269,25.776,5.387,7.913,205.49,1096.6,1659.909
PTP2-PMV7,36.65,53.541,165.226,83.073,27.876,13.817,14.993,357.49,2376.6,3129.266
PTP2-PNEV,0.669,1.346,4.811,4.064,0.812,0.077,0.4,9.116,87.8,109.095
PTP2-SAT,3.359,5.751,24.831,12.224,4.684,0.015,0.988,89.446,343.3,484.598
PTP2-SBA1,4.2385,11.3376666666667,66.7618333333333,51.6783333333333,11.1193333333333,2.675,1.514,77.9,49.1666666666667,276.391333333333
PTP2-SBA2,4.978,11.4256666666667,65.5993333333333,52.0203333333333,13.4493333333333,3.117,2.444,34.0933333333333,16.6666666666667,203.793666666667
PTP2-SI1,0.505,1.116,11.001,9.846,1.797,0.876,1.86,24.2,183,234.201
PTP2-SITE5-2,4.794,20.5816666666667,180.586333333333,204.128333333333,40.7413333333333,7.849,6.364,65.1133333333333,527.666666666667,1057.82466666667
PTP2-SITE7-2,2.594,12.9926666666667,111.148333333333,112.827333333333,25.4173333333333,5.817,6.294,20.2133333333333,330.666666666667,627.970666666667
