SYS_LOC_CODE,1-Cl,2-Cl,3-Cl,4-Cl,5-Cl,6-Cl,7-Cl,8-Cl,9-Cl,10-Cl,TOTALCB
COW20,0.869,7.456,9.222,28.844,66.572,52.286,12.215,2.69,0.77,0.565,181.489
PTP2-ARDMILLIAN,0,64.506,148.752,285.319,405.718,407.08,134.671,54.482,16.3,8.871,1525.699
PTP2-BELLA,0,23.016,46.965,104.921,140.551,105.332,32.814,9.396,3.635,1.289,467.919
PTP2-COM1,3.459,25.208,127.656,134.274,82.017,38.921,9.872,2.854,0.674,0.192,425.127
PTP2-DIX,20.325,17.718,36.581,60.656,52.92,60.795,34.754,16.12,1.473,0.843,302.185
PTP2-EH1,23.813,211.641,850.765,2911.26,7882.292,8004.685,3334.403,953.035,166.4,72.742,24411.036
PTP2-EH2,20.57,71.454,170.89,397.307,667.443,695.124,330.975,85.043,23.7,16.463,2478.969
PTP2-FC1,25.55,69.636,113.735,218.36,186.138,153.679,70.125,19.029,6.02,4.566,866.838
PTP2-FR1,0.722,4.793,13.211,17.853,8.418,3.049,0.662,0.07,0,0.119,48.897
PTP2-GINP1,18.3,31.621,68.864,120.954,116.696,105.146,48.823,12.792,3.616,2.673,529.485
PTP2-GINP2,0,38.589,132.887,177.058,138.564,105.475,51.65,16.48,4.609,2.879,668.191
PTP2-HG1,43.078,10.733,25.218,43.906,100.37,59.096,25.861,7.634,1.575,1.498,318.969
PTP2-HG2,40.39,12.21,26.654,59.739,109.525,93.871,35.902,9.482,1.966,1.372,391.111
PTP2-HG4,38.826,11.564,31.251,65.832,79.603,51.962,18.449,5.36,1.203,0.668,304.718
PTP2-HG5,90.57,27.051,67.184,195.748,285.545,192.901,61.935,14.393,1.976,1.082,938.385
PTP2-HG6,72.056,6.095,17.034,48.192,62.89,29.592,10.361,3.164,0.384,0.434,250.202
PTP2-HS1,9.59,20.556,46.372,91.036,102.858,111.485,60.412,16.675,3.996,3.711,466.691
PTP2-IA1,7.561,11.5,29.087,73.336,164.351,202.467,86.09,35.483,11.732,3.801,625.408
PTP2-IA2,13.12,48.873,168.48,397.162,630.437,716.345,398.521,114.575,20.69,11.341,2519.544
PTP2-IA3,15.036,12.872,45.789,155.459,479.97,409.589,70.57,16.911,3.818,1.408,1211.422
PTP2-JDF1,2.06,12.125,27.855,54.147,48.638,26.638,10.978,2.636,0.671,0.216,185.964
PTP2-JDF2,0.321,2.581,4.313,9.105,8.532,6.628,2.907,0.785,0.267,0.123,35.562
PTP2-LG61,14.24,38.106,36.756,107.085,172.729,138.303,44.31,14.959,4.125,1.609,572.222
PTP2-LG62,14.29,39.795,84.577,170.892,191.28,173.752,89.148,26.117,6.83,4.099,800.78
PTP2-LG80,21.22,60.683,136.69,286.04,340.201,306.758,120.214,36.913,9.938,7.699,1326.356
PTP2-NAMU,41.36,256.715,571.082,664.893,727.186,577.462,153.259,41.971,25.6,58.441,3117.969
