ID,SYS_LOC_CODE
1,PTP2-VH3
2,PTP2-VH4
3,PTP2-VH2
4,PTP2-NWC1
5,PTP2-SOA10
6,PTP2-SOA7
7,PTP2-PMV5
8,PTP2-SOA9
9,PTP2-EH1
10,PTP2-SOA4
11,PTP2-PMV1
12,PTP2-PMV2
13,PTP2-NWC10
14,PTP2-NWC6
15,PTP2-SOA5
16,PTP2-PMV7
17,PTP2-SOA8
18,PTP2-SOA3
19,PTP2-PH
20,SRKW20-7
21,PTP2-NAN1
22,PTP2-PMV6
23,SRKW19-15
24,SRKW19-14
25,SRKW20-6
26,PTP2-NAMU
27,SRKW19-19
28,SRKW19-16
29,PTP2-IA2
30,PTP2-EH2
31,SRKW19-2
32,SRKW19-10
33,SRKW19-11
34,PTP2-NWC9
35,PTP2-SOA6
36,SRKW19-13
37,SRKW19-9
38,SRKW19-6
39,SRKW19-8
40,PTP2-ARDMILLIAN
41,PTP2-PMV3
42,PTP2-LG80
43,PTP2-IA3
44,SRKW19-18
45,PTP2-PMV4
46,SRKW19-4
47,PTP2-SITE7-2
48,SRKW19-1
49,PTP2-SBA2
50,PTP2-HG5
51,PTP2-FC1
52,PTP2-LG62
53,SRKW19-7
54,PTP2-GINP2
55,PTP2-SAT
56,PTP2-IA1
57,PTP2-LG61
58,SRKW19-17
59,SRKW19-12
60,PTP2-GINP1
61,PTP2-SITE5-2
62,SRKW20-3
63,PTP2-BELLA
64,PTP2-HS1
65,PTP2-NWC4
66,PTP2-PB
67,PTP2-COM1
68,PTP2-SBA1
69,PTP2-HG2
70,PTP2-NWC5
71,SRKW19-3
72,PTP2-HG1
73,PTP2-SI1
74,PTP2-HG4
75,PTP2-DIX
76,PTP2-NAN2
77,PTP2-NWC2
78,PTP2-HG6
79,SRKW20-1
80,SRKW19-5
81,PTP2-PNEV
82,SRKW20-2
83,PTP2-TSW2
84,PTP2-JDF1
85,COW20
86,PTP2-STH1
87,SRKW20-4
88,SRKW20-5
89,PTP2-NWC3
90,PTP2-TSW3
91,PTP2-WCVI1
92,PTP2-NWC11
93,PTP2-FR1
94,PTP2-TSW
95,PTP2-JDF2
96,PTP2-NWC8
97,PTP2-WCVI2
